ing,ing_func,cir,ewg
Glyceryl Stearate SE,"['Emulsifying', 'Surfactant']",A,1.0
Lauryl Betaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Increasing Agent']",B,1.0
Silt,"['Absorbent', 'Antiacne Agent', 'Cosmetic Astringent', 'Humectant']",nan,1.0
Eucalyptus Globulus,[''],nan,1.0
Isostearic Acid,"['Binding', 'Binding Agent', 'Emulsifying']",A,1.0
Xylitol,"['Flavoring Agent', 'Humectant', 'Skin Conditioning']",nan,1.0
Kaolin,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Skin Protecting', 'Slip Modifier']",A,1.0
Trisodium HEDTA,['Chelating Agent'],A,1.0
Triheptanoin,"['Skin Conditioning', 'Surfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Bentonite,"['Absorbent', 'Bulking Agent', 'Emulsion Stabilising', 'Opacifying', 'Suspending Agent -Nonsurfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,2.0
Iron Oxides,"['Colorant', 'Cosmetic Colorant']",nan,2.0
Talc,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Skin Protecting', 'Slip Modifier']",A,3.0
PEG-5 Glyceryl Stearate,"['Emulsifying', 'Surfactant']",nan,3.0
Diethylhexyl Carbonate,"['Emollient', 'Skin Conditioning']",nan,1.0
Magnesium Aluminum Silicate,"['Absorbent', 'Anticaking Agent', 'Opacifying', 'Slip Modifier', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Bertholletia Excelsa Seed Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Capryloyl Glycine,"['Cleansing', 'Hair Conditioning', 'Surfactant']",B,1.0
Potassium Cetyl Phosphate,"['Emulsifying', 'Surfactant']",B,1.0
Hydrolyzed Lepidium Meyenii Root,['Skin Conditioning'],nan,1.0
Cinoxate,"['Sunscreen Agent', 'Uv Absorber']",nan,3.0
Ethylhexyl Methoxycinnamate,"['Uv Absorber', 'Uv Filter']",nan,6.0
Aloe Barbadensis (Aloe Vera) Gel,['Skin Conditioning'],nan,3.0
Ceramide 3,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Sucrose Stearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Olea Europaea (Olive) Fruit Oil,[''],A,1.0
Phenyl Trimethicone,"['Antifoaming Agent', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Camellia Sinensis (Green Tea) Leaf Extract,"['Antimicrobial', 'Antioxidant', 'Astringent', 'Emollient', 'Fragrance', 'Humectant', 'Masking', 'Skin Conditioning', 'Skin Protecting', 'Skin-Conditioning Agent -Miscellaneous', 'Tonic', 'Uv Absorber']",nan,2.0
Anthemis Nobilis (Chamomile),[''],nan,4.0
Glycogen,"['Humectant', 'Skin Conditioning']",nan,1.0
Glycereth-26,"['Humectant', 'Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",nan,1.0
Lysine HCL,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Beta-Glucan,"['Bulking Agent', 'Skin Conditioning']",A,1.0
Citrulline,['Skin Conditioning'],nan,1.0
Ascorbyl Glucoside,['Antioxidant'],nan,1.0
Betula Alba Juice,"['Astringent', 'Tonic']",nan,1.0
Calcium Chloride,"['Cosmetic Astringent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Chenopodium Quinoa Seed Extract,['Skin Conditioning'],nan,1.0
Histidine HCl,"['Antioxidant', 'Hair Conditioning', 'Reducing', 'Skin Conditioning']",A,1.0
Alcohol,"['Antifoaming Agent', 'Antimicrobial', 'Astringent', 'Masking', 'Solvent', 'Viscosity Controlling']",nan,2.0
Bis-PEG-18 Methyl Ether Dimethyl Silane,"['Emollient', 'Foam Boosting', 'Hair Conditioning', 'Humectant', 'Hydrotrope', 'Skin Conditioning']",nan,3.0
PEG/PPG-17/6 Copolymer,['Solvent'],nan,3.0
Zinc Sulfate,"['Antimicrobial', 'Antiplaque', 'Cosmetic Astringent', 'Cosmetic Biocide']",nan,4.0
Soluble Collagen,"['Antistatic Agent', 'Film Forming', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Althaea Rosea Flower Extract,['Skin Conditioning'],nan,1.0
Zanthoxylum Piperitum Fruit Extract,['Skin Conditioning'],nan,1.0
Hydroxyethyl Ethylcellulose,"['Adhesive', 'Binding', 'Binding Agent', 'Emulsifying', 'Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Pulsatilla Koreana Extract,['Skin Conditioning'],nan,1.0
Aloe Barbadensis Leaf Extract,"['Emollient', 'Humectant', 'Skin Conditioning']",B,3.0
Solanum Melongena (Eggplant) Fruit Extract,['Skin Conditioning'],nan,1.0
Cassia Obtusifolia Seed Extract,['Skin Conditioning'],nan,1.0
Porphyra Tenera Extract,['Skin Conditioning'],nan,1.0
Fagus Sylvatica Seed Extract,['Skin Conditioning'],nan,1.0
Neopentyl Glycol Diheptanoate,"['Emollient', 'Skin Conditioning', 'Viscosity Increasing Agent']",nan,1.0
Dictyopteris Membranacea Extract,['Antioxidant'],nan,1.0
Dimethicone Crosspolymer,"['Emulsion Stabilising', 'Hair Fixing', 'Suspending Agent - Nonsurfactant', 'Viscosity Controlling', 'Viscosity Increasingagent - Nonaqueous']",A,1.0
Lavandula Angustifolia (Lavender) Oil,"['Fragrance', 'Skin Conditioning']",nan,1.0
Lactose,"['Humectant', 'Skin Conditioning']",A,1.0
Allium Sativum (Garlic) Bulb Extract,[''],nan,1.0
Lilium Candidum Flower Extract,['Skin Conditioning'],nan,1.0
Microcrystalline Cellulose,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Emulsion Stabilising', 'Slip Modifier', 'Viscosity Increasing Agent']",A,1.0
Prunus Mume Fruit Extract,['Humectant'],nan,1.0
Biosaccharide Gum-1,['Skin Conditioning'],A,1.0
Rubus Coreanus Fruit Extract,['Skin Conditioning'],nan,1.0
Cetearyl Glucoside,"['Emulsifying', 'Surfactant']",B,1.0
Sepia,[''],nan,1.0
Charcoal Powder,"['Abrasive', 'Absorbent', 'Colorant', 'Cosmetic Colorant', 'Opacifying']",nan,1.0
Aronia Melanocarpa Fruit Extract,['Skin Conditioning'],nan,1.0
Amyl Acetate,"['Fragrance', 'Masking', 'Solvent']",nan,1.0
Euterpe Oleracea Fruit Extract,['Hair Conditioning'],nan,1.0
Ammonium Alum,"['Antiperspirant Agent', 'Cosmetic Astringent']",nan,1.0
Sambucus Nigra Fruit Extract,['Astringent'],nan,1.0
Zea Mays (Corn) Starch,"['Abrasive', 'Absorbent', 'Skin Protecting', 'Viscosity Increasing Agent']",A,1.0
Theobroma Cacao (Cocoa) Extract,[''],nan,1.0
Coffea Arabica Fruit Extract,[''],nan,1.0
Tropolone,['Skin Conditioning'],nan,1.0
Vitis Vinifera (Grape) Fruit Extract,"['Proprietary', 'Skin Conditioning']",A,1.0
Corthellus Shiitake (Mushroom) Extract,[''],nan,1.0
Synthetic Fluorphlogopite,"['Bulking Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Helianthus Annuus (Sunflower) Seed Oil,[''],A,1.0
Piper Nigrum (Pepper) Seed Extract,[''],nan,1.0
Acryloyldimethyltaurate/VP Copolymer,[''],nan,1.0
Paeonia Lactiflora Root Extract,['Skin Conditioning'],nan,1.0
Tin Oxide,"['Abrasive', 'Bulking Agent', 'Opacifying', 'Viscosity Controlling']",A,2.0
Hydrolyzed Extensin,"['Hair Conditioning', 'Skin Conditioning']",nan,3.0
Ultramarines,"['Colorant', 'Cosmetic Colorant']",nan,4.0
Lauryl Hydroxysultaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Palmitic Acid,"['Emollient', 'Fragrance', 'Opacifying', 'Sufactant']",A,1.0
Laureth-5 Carboxylic Acid,"['Cleansing', 'Emulsifying', 'Surfactant']",nan,2.0
Polyquaternium-39,"['Antistatic Agent', 'Film Forming', 'Hair Fixing']",A,2.0
Polyquaternium-7,"['Antistatic Agent', 'Film Forming', 'Hair Fixing']",A,3.0
PEG-2 Stearate,"['Emulsifying', 'Opacifying', 'Surfactant']",A,3.0
PEG-6,"['Humectant', 'Solvent']",A,3.0
Pueraria Lobata Root Extract,['Humectant'],nan,1.0
Methyl Methacrylate Crosspolymer,"['Film Forming', 'Viscosity Increasing Agent']",A,1.0
VP/Hexadecene Copolymer,"['Binding', 'Film Forming', 'Hair Fixing', 'Viscosity Controlling']",nan,1.0
Centaurea Cyanus Flower Water,['Skin Conditioning'],nan,1.0
Acrylates/Dimethicone Copolymer,"['Anticaking Agent', 'Binding', 'Film Forming', 'Skin Conditioning']",nan,1.0
Artemisia Princeps Leaf Extract,['Skin Conditioning'],nan,1.0
Helichrysum Italicum Flower Water,['Skin Conditioning'],nan,1.0
Isoamyl p-Methoxycinnamate,"['Uv Absorber', 'Uv Filter']",nan,1.0
Octocrylene,"['Sunscreen Agent', 'Uv Absorber', 'Uv Filter']",nan,3.0
Homosalate,"['Fragrance', 'Skin Conditioning', 'Sunscreen Agent', 'Uv Absorber', 'Uv Filter']",nan,4.0
Bambusa Arundinacea Stem Extract,['Skin Conditioning'],nan,1.0
Lauramidopropyl Betaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Sodium Coco PG-Dimonium Chloride Phosphate,"['Antistatic Agent', 'Cleansing', 'Foam Boosting']",nan,1.0
Laminaria Saccharina Extract,['Skin Protecting'],nan,1.0
Acetyl Glucosamine,['Skin Conditioning'],nan,1.0
Cocamidopropyl Hydroxysultaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Salicylic Acid,"['Antiacne Agent', 'Antidandruff Agent', 'Corn/Callus/Wart Remover', 'Denaturant', 'Exfoliant', 'Fragrance', 'Hair Conditioning', 'Keratolytic', 'Masking', 'Preservative', 'Skin Conditioning']",B,4.0
Palmitoyl Tripeptide-1,['Skin Conditioning'],A,1.0
Palmitoyl Proline,"['Hair Conditioning', 'Skin Conditioning']",B,1.0
Tetrapeptide-7,['Skin Conditioning'],nan,1.0
CI 15510,['Cosmetic Colorant'],nan,2.0
Acrylates Copolymer,"['Adhesive', 'Antistatic Agent', 'Binding', 'Binding Agent', 'Film Forming', 'Hair Fixing', 'Suspending Agent -Nonsurfactant']",B,2.0
EDTA,['Chelating Agent'],A,2.0
Laureth-2,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
Sodium Laureth Sulfate,"['Cleansing', 'Emulsifying', 'Foaming', 'Surfactant']",nan,3.0
CI 14700,['Cosmetic Colorant'],nan,3.0
Polyglutamic Acid,['Skin Conditioning'],nan,1.0
Simmondsia Chinensis (Jojoba) Seed Oil,"['Emollient', 'Hair Conditioning', 'Skin Conditioning', 'Viscosity Controlling']",A,1.0
Sodium Palm Kernelate,"['Emulsifying', 'Sufactant', 'Surfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Hamamelis Virginiana (Witch Hazel),[''],nan,1.0
Green 3,[''],nan,1.0
Disodium EDTA-Copper,"['Astringent', 'Chelating', 'Cosmetic Colorant']",nan,4.0
Glycyrrhiza Inflata Root Extract,['Skin Conditioning'],nan,1.0
Sorbitan Stearate,"['Emulsifying', 'Fragrance', 'Surfactant']",A,1.0
Trimethoxycaprylylsilane,"['Binding', 'Binding Agent', 'Smoothing', 'Surface Modifier']",nan,1.0
Chromium Oxide Greens,"['Cosmetic Colorant', 'Hair Dyeing']",nan,5.0
Glyceryl Behenate/Eicosadioate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Dextrin Palmitate,"['Anticaking Agent', 'Emulsifying', 'Surfactant']",A,1.0
Dextrin Palmitate/Ethylhexanoate,"['Anticaking Agent', 'Emulsifying', 'Surfactant']",A,1.0
Limnanthes Alba (Meadowfoam) Seed Oil,"['Deodorant', 'Emollient', 'Skin-Conditioning Agent - Occlusive']",A,1.0
Butyrospermum Parkii (Shea) Butter Extract,[''],nan,1.0
Pentaerythrityl Tetraisostearate,"['Binding Agent', 'Emollient', 'Emulsifying', 'Skin-Conditioning Agent - Occlusive', 'Surfactant', 'Viscosity Increasing Agent']",A,1.0
Oryza Sativa (Rice) Bran Oil,['Skin-Conditioning Agent - Occlusive'],A,2.0
PEG-8 Isostearate,"['Emulsifying', 'Sufactant', 'Surfactant']",nan,3.0
PEG-20 Glyceryl Triisostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,3.0
Glycyrrhiza Glabra (Licorice) Root Extract,"['Antioxidant', 'Humectant', 'Perfuming', 'Skin Conditioning']",nan,1.0
Glucosamine HCl,"['Antistatic Agent', 'Hair Conditioning', 'Ph Adjuster']",nan,1.0
Diglycerin,"['Humectant', 'Skin Conditioning', 'Solvent']",nan,1.0
Methylheptyl Isostearate,['Skin Conditioning'],nan,1.0
Zingiber Officinale (Ginger) Root Oil,"['Flavoring Agent', 'Fragrance', 'Masking', 'Perfuming', 'Skin Conditioning', 'Tonic']",nan,1.0
Rosa Centifolia Flower Extract,"['Astringent', 'Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Sodium Ascorbyl Phosphate,['Antioxidant'],A,1.0
Oryza Sativa (Rice) Bran Extract,"['Skin Conditioning', 'Skin Protecting']",A,1.0
Macrocystis Pyrifera Extract,['Viscosity Controlling'],nan,1.0
Corallina Officinalis Extract,['Skin Conditioning'],nan,1.0
Glycine Soja (Soybean) Protein,[''],A,1.0
Aleurites Moluccana Seed Oil,['Skin Conditioning'],A,1.0
Palmitoyl Pentapeptide-4,['Skin Conditioning'],nan,1.0
Polyquaternium-37,"['Antistatic Agent', 'Film Forming', 'Hair Fixing']",B,1.0
PVP,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Hair Fixing', 'Suspending Agent - Nonsurfactant', 'Viscosity Controlling']",A,1.0
Hydrolyzed Wheat Protein,"['Antistatic Agent', 'Film Forming', 'Hair Conditioning', 'Skin Conditioning']",B,1.0
Prunus Armeniaca (Apricot) Kernel Oil,[''],A,1.0
Yeast Extract,['Skin Conditioning'],nan,1.0
Retinyl Palmitate (Vitamin A),[''],nan,9.0
Oleth-20,"['Emulsifying', 'Fragrance', 'Sufactant', 'Surfactant']",B,2.0
Citrus Grandis (Grapefruit) Peel Oil,"['Fragrance', 'Masking', 'Skin Conditioning']",B,3.0
Jasminum Officinale (Jasmine) Oil,"['Fragrance', 'Masking', 'Moisturising', 'Skin Conditioning', 'Soothing']",nan,3.0
Limonene,"['Deodorant', 'Perfuming', 'Solvent']",nan,6.0
Arginine/Lysine Polypeptide,['Skin Conditioning'],nan,1.0
Glycol Distearate,"['Emollient', 'Emulsifying', 'Opacifying', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
PEG-16 Soy Sterol,"['Emulsifying', 'Surfactant']",A,4.0
Laureth-4,"['Antistatic Agent', 'Emulsifying', 'Masking', 'Surfactant']",B,3.0
Honey,"['Emollient', 'Flavoring Agent', 'Humectant', 'Moisturising']",nan,1.0
Neohesperidin Dihydrochalcone,"['Flavoring Agent', 'Masking', 'Perfuming']",nan,1.0
Bis-Diglyceryl Polyacyladipate-2,"['Emollient', 'Skin Conditioning']",A,1.0
Cetyl Palmitate,"['Emollient', 'Fragrance', 'Masking', 'Skin Conditioning']",B,1.0
Octyldodecanol,"['Emollient', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Solvent']",A,1.0
Copernicia Cerifera (Carnauba) Wax,"['Depilatory', 'Epilating Agent']",A,1.0
Nonfat Dry Milk,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Vitis Vinifera (Grape) Seed Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Polyglyceryl-3 Diisostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Polyisobutene,"['Binding', 'Binding Agent', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
C20-40 Alkyl Stearate,"['Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Ricinus Communis (Castor) Seed Oil,[''],A,2.0
PEG-8 Beeswax,"['Emulsifying', 'Surfactant']",nan,3.0
Myristyl Myristate,"['Emollient', 'Opacifying', 'Skin Conditioning']",B,3.0
Pogostemon Cablin Oil,[''],nan,1.0
Cordyceps Sinensis Extract,"['Antioxidant', 'Emollient', 'Humectant', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Zingiber Officinale (Ginger) Root Extract,"['Fragrance', 'Masking', 'Perfuming', 'Skin Conditioning', 'Tonic']",nan,1.0
Anthemis Nobilis Flower Water,"['Masking', 'Skin Conditioning']",nan,1.0
Citrus Aurantium Dulcis (Orange) Oil,[''],nan,1.0
Boswellia Carterii Oil,"['Masking', 'Tonic']",nan,1.0
Carthamus Tinctorius (Safflower) Seed Oil,[''],A,1.0
Propylene Glycol Dicaprate,"['Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Increasing Agent']",B,1.0
Helianthus Annuus (Sunflower) Seedcake,"['Abrasive', 'Absorbent', 'Bulking Agent']",A,1.0
Ocimum Sanctum Leaf Extract,['Skin Conditioning'],nan,1.0
Silybum Marianum Fruit Extract,['Skin Conditioning'],nan,1.0
Hypsizygus Ulmarius Mycelium Extract,['Skin Conditioning'],nan,1.0
Citrus Nobilis (Mandarin Orange) Peel Oil,"['Fragrance', 'Masking', 'Skin Conditioning', 'Tonic']",B,2.0
Aspalathus Linearis Extract,['Skin Conditioning'],nan,1.0
Hippophae Rhamnoides Fruit Extract,['Skin Conditioning'],nan,1.0
Glucose,"['Flavoring Agent', 'Humectant', 'Skin-Conditioning Agent- Miscellaneous']",A,1.0
Aesculus Hippocastanum (Horse Chestnut) Seed Extract,['Skin Conditioning'],nan,1.0
Glycolic Acid,"['Buffering Agent', 'Exfoliant', 'Ph Adjuster']",B,4.0
Biotin,"['Antiseborrhoeic', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Aspartic Acid,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning']",A,1.0
Panax Ginseng Root Extract,"['Emollient', 'Hair Conditioning', 'Skin Protecting', 'Tonic']",A,1.0
Fructose,"['Flavoring Agent', 'Humectant']",A,1.0
Hexyl Nicotinate,"['Antistatic Agent', 'Emollient', 'Skin Conditioning']",nan,1.0
PPG-26-Buteth-26,"['Emulsifying', 'Fragrance', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant']",A,2.0
Hamamelis Virginiana (Witch Hazel) Water,"['Drug Astringent - Skin Protecting', 'Skin Conditioning']",nan,1.0
Castanea Crenata Shell Extract,['Skin Conditioning'],nan,1.0
Cocos Nucifera (Coconut) Water,"['Fragrance', 'Masking']",nan,1.0
Scutellaria Baicalensis Root Extract,"['Astringent', 'Humectant', 'Soothing']",nan,1.0
Triethanolamine,"['Buffering Agent', 'Emulsifying', 'Fragrance', 'Masking', 'Ph Adjuster', 'Surfactant']",B,5.0
Solum Diatomeae,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Opacifying']",nan,1.0
Nelumbo Nucifera Germ Extract,['Skin Conditioning'],nan,1.0
Nelumbium Speciosum Flower Extract,['Skin Conditioning'],nan,1.0
Gelidium Cartilagineum Extract,['Skin Protecting'],nan,1.0
PEG-45M,"['Binding Agent', 'Emulsion Stabilising', 'Viscosity Increasing Agent']",A,3.0
Flavor,[''],nan,4.0
Lactobacillus Ferment,['Skin Conditioning'],nan,1.0
Garcinia Mangostana Peel Extract,['Skin Conditioning'],nan,1.0
Methyl Gluceth-20,"['Humectant', 'Moisturising']",A,1.0
Poria Cocos Extract,['Skin Conditioning'],nan,1.0
Acetyl Dipeptide-1 Cetyl Ester,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Echinacea Purpurea Extract,"['Moisturising', 'Skin Conditioning', 'Tonic']",nan,1.0
Coffea Arabica (Coffee) Seed Extract,[''],nan,1.0
Cladosiphon Okamuranus Extract,['Skin Conditioning'],nan,1.0
Trisodium EDTA,['Chelating Agent'],A,1.0
Magnolia Obovata Bark Extract,['Skin Conditioning'],nan,1.0
Silybum Marianum Extract,['Skin Conditioning'],nan,1.0
Oleth-3 Phosphate,"['Emulsifying', 'Surfactant']",nan,2.0
Betula Alba Extract,[''],nan,2.0
Laureth-3,"['Emulsifying', 'Surfactant']",B,3.0
PEG-75,"['Binding Agent', 'Humectant', 'Solvent']",A,3.0
PEG-8 Glyceryl Isostearate,"['Emollient', 'Emulsifying', 'Surfactant']",nan,3.0
Sodium Methyl Stearoyl Taurate,"['Cleansing', 'Foaming', 'Surfactant']",B,1.0
Polyglycerin-3,['Humectant'],nan,1.0
Elaeis Guineensis (Palm) Oil,[''],A,1.0
Lysolecithin,"['Emulsifying', 'Surfactant']",A,1.0
Thiotaurine,['Antioxidant'],nan,1.0
Glycine Soja (Soybean) Sterols,"['Emollient', 'Skin Conditioning']",A,1.0
Panthenyl Ethyl Ether,"['Antistatic Agent', 'Hair Conditioning']",nan,1.0
Potassium Ascorbyl Tocopheryl Phosphate,['Antioxidant'],A,1.0
Hydrogenated C6-14 Olefin Polymers,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Palm Kernel Oil,"['Emollient', 'Skin Conditioning']",nan,1.0
Hydrogenated Palm Oil,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,2.0
PEG-60 Glyceryl Isostearate,['Surfactant'],nan,3.0
SD Alcohol 40-B,[''],A,4.0
Sodium Cocoamphoacetate,"['Foam Boosting', 'Foaming', 'Hair Conditioning', 'Sufactant']",A,1.0
Sodium Glycolate,['Buffering Agent'],B,3.0
Resveratrol,"['Antioxidant', 'Skin Protecting']",nan,1.0
Punica Granatum Extract,"['Astringent', 'Masking', 'Tonic']",nan,1.0
Coco-Betaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
PEG-200,"['Binding Agent', 'Humectant', 'Solvent']",A,3.0
PEG-200 Hydrogenated Glyceryl Palmate,"['Cleansing', 'Emulsifying', 'Solvent', 'Surfactant']",nan,3.0
Citrus Grandis (Grapefruit) Fruit Extract,"['Preservative', 'Skin Conditioning']",B,4.0
PEG-30 Glyceryl Cocoate,"['Emulsifying', 'Sufactant', 'Surfactant']",B,4.0
PEG-7 Glyceryl Cocoate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,4.0
Hypnea Musciformis Extract,['Skin Protecting'],nan,1.0
Gellidiela Acerosa Extract,[''],nan,1.0
Dextran,"['Binding', 'Binding Agent', 'Bulking Agent', 'Viscosity Controlling']",A,1.0
Disodium Phosphate,"['Anticorrosive', 'Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster']",B,1.0
Sesamum Indicum (Sesame) Seed Oil,"['Emollient', 'Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning']",A,1.0
Hydrogenated Polyisobutene,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
PEG-8 Dilaurate,"['Emulsifying', 'Surfactant']",nan,5.0
Glycosyl Trehalose,"['Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Humectant', 'Skin Protecting']",nan,1.0
Sodium Hyaluronate Crosspolymer,"['Humectant', 'Skin Conditioning']",nan,1.0
Acrylates Crosspolymer,['Absorbent'],B,1.0
Triethyl Citrate,"['Antioxidant', 'Deodorant', 'Fragrance', 'Masking', 'Plasticizer', 'Solvent']",A,1.0
Hydrogenated Starch Hydrolysate,['Humectant'],A,1.0
Hydroxyethyl Urea,"['Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Hydroxypropyltrimonium Hyaluronate,"['Film Forming', 'Humectant']",nan,1.0
Coriandrum Sativum (Coriander) Fruit Oil,"['Flavoring Agent', 'Fragrance', 'Masking']",nan,1.0
